"fecha","Agro","Combustibles","Manufacturas","Otros"
"1-2006",324496.39825,757803.21535,513356.513,72514.62238
"2-2006",405990.90344,778812.8178,623413.40015,53806.88278
"3-2006",424199.392360001,764853.54386,685391.63698,55418.93002
"4-2006",361227.7383,821902.24734,620610.499089999,68420.29444
"5-2006",431760.214190001,976076.3342,717539.916,86304.82246
"6-2006",389372.76737,813011.34943,742126.535859998,94853.35071
"7-2006",402044.51625,957171.3625,696339.43281,86402.87018
"8-2006",426476.38659,841782.51485,789108.435749999,72513.17775
"9-2006",426439.91413,778670.31337,833718.011799998,65415.05319
"10-2006",467837.38071,881453.75126,861583.329049999,60697.50551
"11-2006",457766.3563,745308.52315,874366.334229996,69106.28101
"12-2006",442593.12726,872197.65163,758124.793040001,61588.76969
"1-2007",397898.18274,766635.21652,618949.24594,60185.31979
"2-2007",498872.29445,656572.809310001,687111.006429998,72213.49663
"3-2007",512002.02936,1008456.26963,810303.19453,53895.12396
"4-2007",418157.83698,1002894.02868,1010475.22188,66223.27895
"5-2007",485707.90203,971124.45208,1219170.14732,51977.17981
"6-2007",463112.59264,642478.3158,961816.439380001,46851.45699
"7-2007",483059.06607,1170825.49366,940216.178719998,54045.81617
"8-2007",516655.76131,1030985.72522,1007566.57193,65793.54048
"9-2007",483815.00703,955314.22514,992278.463020001,91762.08731
"10-2007",526080.24949,923679.01061,1092853.75868,81035.88799
"11-2007",564645.92605,1241641.17679,1243255.43011,103110.3143
"12-2007",564559.380909999,1323284.59177,1276507.50398,63184.70897
"1-2008",522596.438119999,1269751.91939,962890.366320001,87067.56918
"2-2008",599562.37981,1205445.51934,936749.638460001,80712.60142
"3-2008",547516.720719999,1538373.15724,852105.235219998,69292.55684
"4-2008",639815.78131,1586454.62827,1041266.54588,97883.3447
"5-2008",584514.83337,1734713.64699,985135.338759997,88251.18036
"6-2008",579958.3761,2060835.7198,965770.000440001,69090.23607
"7-2008",654291.18576,1920787.48952,1124960.81765,101645.73328
"8-2008",555298.29502,1727498.58933,927573.792069999,83816.47023
"9-2008",492365.39796,1688060.53,847184.384070001,106383.81404
"10-2008",490454.57077,1321934.73153,1065951.43458,102764.58101
"11-2008",403639.11527,804030.16423,969009.442070001,68700.00496
"12-2008",512615.30374,645168.34284,991679.731610001,74807.63174
"1-2009",508566.20237,1196619.87774,748032.55719,72479.25557
"2-2009",516327.71408,815529.97539,859625.82547,148634.10759
"3-2009",598732.93433,1146272.69872,840221.884809999,126104.5904
"4-2009",525857.63525,1091223.22828,708291.75722,102198.16825
"5-2009",547600.05298,1346031.78572,755893.613139999,92993.4636
"6-2009",454032.27777,1397654.61739,784054.012880001,102342.27778
"7-2009",550168.846230001,1444123.77126,778622.660290002,125685.13192
"8-2009",411719.98845,1492954.92985,654620.67071,114173.9118
"9-2009",480612.22577,1421341.16214,747452.950110001,146576.87676
"10-2009",442132.27999,1634872.26739,723569.445720003,148112.54813
"11-2009",412282.7516,1593832.44249,673064.189320002,182115.09642
"12-2009",522529.80579,1715192.68497,735652.124110003,209597.43505
"1-2010",452935.223960001,1758454.13083,555904.658150001,146139.46375
"2-2010",399571.421829999,1676992.62314,646725.930369999,145866.17405
"3-2010",580528.622540001,1808513.9373,773100.951729997,175759.69909
"4-2010",468546.819109999,2068196.27919,782843.573670002,171391.35615
"5-2010",497671.80891,2014658.81015,824952.50766,176047.69766
"6-2010",378817.636509999,1805933.08438,707752.886779999,168124.17739
"7-2010",422562.18136,1933534.05031,663490.938109999,138038.80902
"8-2010",442619.983650001,2059061.86307,648833.9629,140720.20044
"9-2010",463097.7622,1831952.44563,786992.30188,189617.99655
"10-2010",490288.93582,2090417.70246,760803.164089997,194248.82234
"11-2010",521532.74938,2020879.91757,692006.298820002,191675.62774
"12-2010",638551.833569998,2126362.75413,785010.852489999,295605.77261
"1-2011",588982.893090001,2399325.02693,624659.399759997,147209.03819
"2-2011",571449.613450001,2490213.55224,711033.54625,185874.81621
"3-2011",700710.074020001,3073929.90302,904366.240690001,214306.21608
"4-2011",643430.925899999,3174020.03896,789603.724460001,216039.11974
"5-2011",666435.850070001,3456528.52213,801352.688220003,229392.87933
"6-2011",651196.40261,3083942.09892,767855.459780002,205743.10539
"7-2011",477354.4424,3393823.43585,766948.055060002,228103.11195
"8-2011",527888.46276,3300201.25168,843164.624720003,270390.36655
"9-2011",486297.58677,3027039.54433,823887.095859994,245176.41847
"10-2011",506962.286310001,3203887.08885,795453.804210001,266692.50719
"11-2011",607460.492549999,3450435.52139,796212.858820003,293221.06771
"12-2011",631142.05356,3561500.40385,808097.291809999,305998.20225
"1-2012",558473.10694,3359880.3588,665606.992029998,201812.60178
"2-2012",515238.155089999,3376270.39583,807590.118259998,300219.53799
"3-2012",637819.09747,3919587.87685,877169.827069996,277777.99735
"4-2012",452088.399619999,3572968.7858,726256.42641,259615.86637
"5-2012",637247.21845,3574152.33687,921910.109049999,270065.60355
"6-2012",532865.2404,2937966.41694,800041.149959997,292558.26325
"7-2012",595613.42345,3248531.05687,843533.621720005,289226.63046
"8-2012",583745.292129999,2788859.3519,895737.13395,302437.99783
"9-2012",506441.39866,3255272.78291,831409.240840003,317279.73437
"10-2012",576573.35368,3643932.21572,874052.847840003,338372.05267
"11-2012",551989.74895,3062841.83945,908122.798970001,284383.94439
"12-2012",480716.93886,3376174.11002,802495.269460001,292241.2507
"1-2013",505893.75889,3290902.35697,749621.109369999,302779.25963
"2-2013",520741.732199999,3070433.76008,831032.613380004,245559.33469
"3-2013",526412.53693,3069346.56249,767030.874749995,255052.52263
"4-2013",661266.383720001,3157208.94516,889825.728909996,241185.57338
"5-2013",610392.849309999,3545217.54038,985415.581339998,191443.73475
"6-2013",544562.95428,3325816.54224,822531.460580001,177927.99531
"7-2013",529142.921290001,3142914.03532,825659.80903,154580.08462
"8-2013",556947.44691,3568929.24371,740143.40726,111685.71106
"9-2013",515083.69055,3356513.86417,820769.027729998,157629.22386
"10-2013",550394.81086,3262433.76551,889041.386020002,136113.32928
"11-2013",572076.51543,3429825.38258,805903.53286,140859.67326
"12-2013",587418.23613,3705943.08685,818472.66026,160288.45266
"1-2014",496110.66495,3554978.82316,636234.476430001,121507.8891
"2-2014",595890.81658,2812865.01172,736736.301010001,125950.02126
"3-2014",557086.991669999,2939245.21627,746075.897290003,165772.92867
"4-2014",640583.171160001,2833773.77945,713929.309190004,128389.54849
"5-2014",736007.128319999,3820660.8749,811259.342139999,127939.18048
"6-2014",604038.43498,3258869.53411,719824.103260004,122082.41932
"7-2014",653973.323420001,3343497.08963,912871.86833,138588.1384
"8-2014",616495.78481,3263028.38845,817102.528859999,116463.87854
"9-2014",630800.172069998,3437872.36574,862605.439859995,145969.5197
"10-2014",597311.75275,2771778.59699,826702.548389996,126484.74421
"11-2014",637713.09583,2284603.67446,771892.786770001,100476.48318
"12-2014",577030.809859999,2201974.70485,835581.964000001,180123.0436
"1-2015",626019.426989998,1603209.04604,591408.896840002,96338.74628
"2-2015",636706.826189999,1821877.061,664958.111399997,37414.71586
"3-2015",623904.60254,2041249.435,707761.32861,89028.14863
"4-2015",595880.83083,1802627.87719,706787.53291,114410.07769
"5-2015",584284.735690001,1993905.62959,733115.450030001,69777.7604
"6-2015",481214.64759,1819366.43618,799678.417400001,117148.15891
"7-2015",608181.25578,1586812.94735,745286.055209999,103497.76345
"8-2015",533163.40125,1555474.92104,675090.74105,104721.99531
"9-2015",625449.93594,1452753.48487,728338.403679997,91626.38618
"10-2015",552596.687730001,1509822.80972,660625.348730001,92477.16575
"11-2015",511273.058,1227965.48843,621434.846740001,83861.16058
"12-2015",555962.5982,1202726.0767,726585.867370001,103719.36658
"1-2016",433952.20618,923138.896049999,487422.6942,74539.33835
"2-2016",634163.66068,1021547.04113,582778.967090005,90232.91387
"3-2016",609666.014650002,1032040.74187,595090.327319999,98201.35763
"4-2016",694412.26193,1084946.11777,595973.70488,88460.85874
"5-2016",582965.91151,1405689.61664,662487.109410001,100327.77336
"6-2016",564851.49963,1510721.58831,627632.782639999,77305.77575
"7-2016",398591.98508,1320327.24702,460026.11106,88052.14369
"8-2016",515676.869169999,1582506.81241,825095.147059997,121098.56304
"9-2016",524663.86522,1397914.35573,693902.128450003,181206.1234
"10-2016",480854.15747,1431113.17069,682497.283249998,175549.48477
"11-2016",587726.020790001,1362766.55099,651850.22667,231279.2512
"12-2016",837224.228480001,1728854.28217,661351.649210004,249664.16467
"1-2017",537258.986280001,1637139.90096,486555.73567,124089.822
"2-2017",566750.293839999,1447487.9214,523154.857519999,178631.30297
"3-2017",787523.421040002,1691338.0343,643487.2104,174616.38596
"4-2017",552714.81584,1483407.7704,509614.80306,138707.89978
"5-2017",720054.910390002,1916451.40036,691552.382599997,177377.34528
"6-2017",601226.878249999,1441308.90899,663638.366019999,167502.07116
"7-2017",630958.814399999,1665159.23951,678997.642540002,127880.91268
"8-2017",629978.997819999,1695026.77498,732924.975409999,133666.90802
"9-2017",622067.995260001,1926695.43642,692336.016840003,130152.39153
"10-2017",584370.996899998,1829730.13088,704861.374759999,150605.84578
"11-2017",569718.71877,1676572.23172,718174.849490005,138185.27611
"12-2017",553023.312210001,2620060.51082,664692.590300002,143129.79423
"1-2018",682148.842420002,1987850.91852,595727.791039999,60912.87995
"2-2018",617659.712400001,1634202.06119,620610.487700002,128396.79936
"3-2018",635807.745989999,1934093.54366,678867.088900002,117183.04995
"4-2018",673927.088769999,2237302.94129,751507.31422,122022.68858
"5-2018",692528.009799999,2105633.37198,754599.014869997,128238.77634
"6-2018",591486.265380001,1908205.38615,714617.231660003,120561.27815
"7-2018",574750.04602,2225414.26188,705461.002709999,127280.60541
"8-2018",628867.94057,2118523.88519,730207.305929998,133637.1534
